Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
142,13.328,23.315,0,0.062,1.661,3.463,8.011,19.932,0.611
142,19.425,30.427,0,0.065,1.638,3.344,7.584,18.549,0.818
143,13.341,22.398,0,0.064,1.655,3.409,7.781,19.106,0.676
143,24.692,22.503,0,0.072,1.611,3.267,7.370,17.935,0.748
143,19.438,30.432,0,0.067,1.631,3.318,7.504,18.317,0.847
144,24.635,22.506,0,0.073,1.620,3.296,7.458,18.199,0.641
144,13.236,23.320,0,0.061,1.674,3.515,8.174,20.413,0.458
144,19.442,30.446,0,0.067,1.641,3.356,7.627,18.691,0.705
145,24.614,22.498,0,0.073,1.623,3.307,7.496,18.315,0.667
145,13.352,23.283,0,0.062,1.673,3.506,8.142,20.312,0.495
145,19.405,30.434,0,0.066,1.644,3.361,7.627,18.657,0.737
146,24.622,22.511,0,0.073,1.612,3.273,7.398,18.040,0.597
146,13.316,23.347,0,0.062,1.694,3.576,8.349,20.898,0.359
146,19.467,30.407,0,0.065,1.639,3.343,7.572,18.501,0.616
147,24.709,22.500,0,0.073,1.617,3.283,7.409,18.032,0.691
147,13.372,23.339,0,0.062,1.667,3.490,8.105,20.233,0.441
147,19.425,30.404,0,0.065,1.630,3.312,7.483,18.251,0.721
148,13.291,22.437,0,0.068,1.667,3.448,7.893,19.410,0.516
148,24.671,22.505,0,0.071,1.614,3.274,7.390,17.992,0.730
148,19.445,30.423,0,0.066,1.625,3.299,7.450,18.174,0.765
149,13.418,22.417,0,0.060,1.658,3.417,7.803,19.165,0.811
149,24.702,22.494,0,0.072,1.623,3.300,7.448,18.116,0.736
149,19.409,30.431,0,0.064,1.651,3.382,7.681,18.796,0.883
150,24.724,22.474,0,0.075,1.628,3.318,7.503,18.269,1.000
151,24.764,22.517,0,0.072,1.640,3.360,7.624,18.610,0.922
151,13.409,23.310,0,0.060,1.654,3.431,7.906,19.611,0.833
151,19.446,30.421,0,0.066,1.641,3.352,7.606,18.614,0.908
152,24.690,22.464,0,0.073,1.623,3.303,7.462,18.165,0.845
152,19.404,30.416,0,0.063,1.654,3.388,7.698,18.844,0.845
153,24.833,23.383,0,0.073,1.644,3.386,7.726,18.948,0.991
153,19.410,30.485,0,0.066,1.645,3.369,7.664,18.793,0.991
154,24.658,22.482,0,0.073,1.633,3.340,7.586,18.559,0.851
154,13.342,23.285,0,0.063,1.656,3.444,7.953,19.759,0.679
154,19.414,30.448,0,0.065,1.631,3.319,7.509,18.335,0.811
155,24.639,22.516,0,0.073,1.627,3.322,7.538,18.431,0.728
155,13.332,23.379,0,0.063,1.664,3.471,8.029,19.968,0.661
155,19.436,30.462,0,0.066,1.648,3.378,7.690,18.867,0.835
156,24.792,22.478,0,0.071,1.637,3.349,7.593,18.524,0.849
156,13.452,23.315,0,0.061,1.657,3.453,7.994,19.917,0.672
156,19.444,30.402,0,0.066,1.633,3.325,7.530,18.407,0.804
157,24.789,22.510,0,0.073,1.642,3.361,7.614,18.542,0.873
157,13.432,23.333,0,0.064,1.658,3.452,7.980,19.851,0.718
157,19.430,30.454,0,0.067,1.634,3.333,7.561,18.505,0.819
158,24.704,22.511,0,0.074,1.627,3.322,7.529,18.385,0.992
158,19.427,30.468,0,0.068,1.635,3.338,7.575,18.546,0.992
159,24.736,22.515,0,0.072,1.635,3.348,7.605,18.602,0.849
159,13.302,23.338,0,0.068,1.656,3.451,7.988,19.896,0.669
159,19.419,30.466,0,0.069,1.631,3.319,7.511,18.346,0.792
160,24.775,22.522,0,0.073,1.637,3.350,7.596,18.531,0.940
160,13.406,23.351,0,0.066,1.646,3.409,7.851,19.474,0.861
